[INFO]
DATA_FORMAT_VERSION=1.0
CREATOR=tellurium
NUMBER_OF_COLS=3
NUMBER_OF_ROWS=16
COLUMN_HEADERS=time,[S1],[S2]
COMMENTS=

[DATA]
0,0.0001445101358862698,5.443049292240267e-007
0.666667,7.320469156995237e-005,7.694514070763943e-005
1.33333,2.957599186593608e-005,0.000109583585262065
2,2.228192948248553e-005,0.0001272304260269815
2.66667,4.603088476766878e-006,0.0001321082639200469
3.33333,9.761047326505938e-008,0.0001577822424463834
4,4.704055966457903e-006,0.000142214811966936
4.66667,-6.732242273202153e-006,0.0001409357158645906
5.33333,-1.226287870919367e-005,0.0001464251690297817
6,-6.735459978789514e-006,0.0001570600418042179
6.66667,-7.273591929479473e-006,0.0001499126605279305
7.33333,4.741851338006144e-006,0.0001406233240282085
8,-2.914292050236616e-006,0.0001524098980836245
8.66667,-7.135539916401135e-006,0.0001513458867974165
9.33333,6.968772410722519e-006,0.0001415972896722652
10,2.972368101291846e-006,0.0001581101120011455
