[INFO]
DATA_FORMAT_VERSION=1.0
CREATOR=tellurium
NUMBER_OF_COLS=21
NUMBER_OF_ROWS=50
COLUMN_HEADERS=time,[S1],[S2],[S1],[S2],[S1],[S2],[S1],[S2],[S1],[S2],[S1],[S2],[S1],[S2],[S1],[S2],[S1],[S2],[S1],[S2]
COMMENTS=

[DATA]
0,0.0001560683803017565,-3.659846354093651e-006,0.0001462805019486751,1.809339730642133e-006,0.0001463401536459063,-8.275641410651808e-006,0.000143554952209809,-1.127025252390299e-005,0.0001514162765709467,1.038131479440216e-005,0.0001601844193184695,4.348296030940376e-006,0.0001531772523142111,3.378300134404059e-006,0.0001482168437550046,-6.96990708928672e-006,0.0001514162765709467,2.635008955346872e-006,0.0001602627145204926,-3.617146071004606e-006
0.204082,0.0001004232850154189,4.751003414776045e-005,0.0001216095786217596,4.685169195694913e-005,0.0001188180767596013,3.78599952091182e-005,0.0001216095786217596,4.751003414776045e-005,0.000112903658270049,5.275936505153018e-005,0.0001049382161681041,5.529851419153871e-005,0.0001179937648806164,3.331256053720154e-005,0.0001047672941611245,4.231955137763304e-005,0.0001036711743196738,5.170735228138394e-005,0.0001080671264041876,4.40796467162382e-005
0.408163,8.449866114125588e-005,6.898709793639988e-005,8.148473837542643e-005,8.081317381358203e-005,7.258529946077935e-005,6.016808139839625e-005,8.290996210864113e-005,7.48166340567033e-005,7.058934689853499e-005,7.324767365294137e-005,6.729141355379776e-005,6.540848692380795e-005,8.952933535820952e-005,6.98795027716415e-005,7.042958885401096e-005,6.752963864736979e-005,8.882438059819336e-005,6.834196811256894e-005,7.92117259221574e-005,6.869739997100999e-005
0.612245,5.998981245966921e-005,9.779782743868693e-005,6.004877649237283e-005,9.779782743868693e-005,5.306714608667115e-005,9.329596621232751e-005,5.559690163556116e-005,8.935671775736048e-005,5.288459563249101e-005,9.629515819617793e-005,6.215786046610694e-005,9.495412556598679e-005,6.00324664788664e-005,0.0001045846191510226,5.591926547123932e-005,9.069354984944531e-005,5.94902231200022e-005,8.430655406535145e-005,5.041961751220102e-005,0.0001011620175498933
0.816327,4.347852868737687e-005,0.0001219080213178382,3.840526111352349e-005,0.0001057574391254569,4.202110868155445e-005,0.0001039163583823683,4.074458756509758e-005,0.0001143323109991343,3.936303881981737e-005,0.0001027251311181076,4.916342677936133e-005,0.0001064025689492879,5.052103495609552e-005,0.0001149221852369437,4.270591093907518e-005,0.0001104135208094497,4.724441641156514e-005,0.0001114888138905341,4.773734074399154e-005,0.0001201685322258261
1.02041,2.732646254883403e-005,0.0001142459348483452,3.291229682974726e-005,0.0001119466600546148,2.884174984131737e-005,0.0001174813675139774,2.821886738407564e-005,0.0001153381135458317,2.732646254883403e-005,0.000115953456216826,2.60582004834085e-005,0.0001171259356555363,2.906271711271581e-005,0.0001177710654793672,2.860153840026241e-005,0.0001164342333872824,2.334210188227907e-005,0.0001311899707457754,3.779493024928198e-005,0.0001203734818422494
1.22449,2.769159160913035e-005,0.0001312779868450376,2.335944367864084e-005,0.0001247900496979076,1.462463317098539e-005,0.0001248903584582827,1.664201644891387e-005,0.0001235657081325664,1.271187217800549e-005,0.0001268910649013435,2.408681356323306e-005,0.000129866172622948,1.51145072955444e-005,0.0001248903584582827,2.798493030438938e-005,0.0001271915835229071,1.55737373310773e-005,0.0001309866056672356,2.030030154005746e-005,0.000129866172622948
